titre,prix,disponibilite,description,note,image
A Light in the Attic,51.77,22,Its hard to imagine a world without A Light in the Attic This nowclassic collection of poetry and drawings from Shel Silverstein celebrates its 20th anniversary with this special edition Silversteins humorous and creative verse can amuse the dowdiest of readers Lemonfaced adults and fidgety kids sit still and read these rhythmic words and laugh and smile and love th Its hard to imagine a world without A Light in the Attic This nowclassic collection of poetry and drawings from Shel Silverstein celebrates its 20th anniversary with this special edition Silversteins humorous and creative verse can amuse the dowdiest of readers Lemonfaced adults and fidgety kids sit still and read these rhythmic words and laugh and smile and love that Silverstein Need proof of his genius RockabyeRockabye baby in the treetopDont you know a treetopIs no safe place to rockAnd who put you up thereAnd your cradle tooBaby I think someone down heresGot it in for you Shel you never sounded so good more,3,https://books.toscrape.com/media/cache/fe/72/fe72f0532301ec28892ae79a629a293c.jpg
Tipping the Velvet,53.74,20,Erotic and absorbingWritten with starling powerThe New York Times Book Review  Nan King an oyster girl is captivated by the music hall phenomenon Kitty Butler a male impersonator extraordinaire treading the boards in Canterbury Through a friend at the box office Nan manages to visit all her shows and finally meet her heroine Soon after she becomes Kittys Erotic and absorbingWritten with starling powerThe New York Times Book Review  Nan King an oyster girl is captivated by the music hall phenomenon Kitty Butler a male impersonator extraordinaire treading the boards in Canterbury Through a friend at the box office Nan manages to visit all her shows and finally meet her heroine Soon after she becomes Kittys dresser and the two head for the bright lights of Leicester Square where they begin a glittering career as musichall stars in an allsinging and dancing double act At the same time behind closed doors they admit their attraction to each other and their affair begins more,1,https://books.toscrape.com/media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg
Soumission,50.1,20,Dans une France assez proche de la nôtre un homme sengage dans la carrière universitaire Peu motivé par lenseignement il sattend à une vie ennuyeuse mais calme protégée des grands drames historiques Cependant les forces en jeu dans le pays ont fissuré le système politique jusquà provoquer son effondrement Cette implosion sans soubresauts sans vraie révolution s Dans une France assez proche de la nôtre un homme sengage dans la carrière universitaire Peu motivé par lenseignement il sattend à une vie ennuyeuse mais calme protégée des grands drames historiques Cependant les forces en jeu dans le pays ont fissuré le système politique jusquà provoquer son effondrement Cette implosion sans soubresauts sans vraie révolution se développe comme un mauvais rêveLe talent de lauteur sa force visionnaire nous entraînent sur un terrain ambigu et glissant  son regard sur notre civilisation vieillissante fait coexister dans ce roman les intuitions poétiques les effets comiques une mélancolie fatalisteCe livre est une saisissante fable politique et morale more,1,https://books.toscrape.com/media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg
Sharp Objects,47.82,20,WICKED above her hipbone GIRL across her heart Words are like a road map to reporter Camille Preakers troubled past Fresh from a brief stay at a psych hospital Camilles first assignment from the secondrate daily paper where she works brings her reluctantly back to her hometown to cover the murders of two preteen girls NASTY on her kneecap BABYDOLL on her leg Since WICKED above her hipbone GIRL across her heart Words are like a road map to reporter Camille Preakers troubled past Fresh from a brief stay at a psych hospital Camilles first assignment from the secondrate daily paper where she works brings her reluctantly back to her hometown to cover the murders of two preteen girls NASTY on her kneecap BABYDOLL on her leg Since she left town eight years ago Camille has hardly spoken to her neurotic hypochondriac mother or to the halfsister she barely knows a beautiful thirteenyearold with an eerie grip on the town Now installed again in her familys Victorian mansion Camille is haunted by the childhood tragedy she has spent her whole life trying to cut from her memory HARMFUL on her wrist WHORE on her ankle As Camille works to uncover the truth about these violent crimes she finds herself identifying with the young victimsa bit too strongly Clues keep leading to dead ends forcing Camille to unravel the psychological puzzle of her own past to get at the story Dogged by her own demons Camille will have to confront what happened to her years before if she wants to survive this homecomingWith its taut crafted writing Sharp Objects is addictive haunting and unforgettable more,4,https://books.toscrape.com/media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg
Sapiens: A Brief History of Humankind,54.23,20,From a renowned historian comes a groundbreaking narrative of humanitys creation and evolutiona 1 international bestsellerthat explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be humanOne hundred thousand years ago at least six different species of humans inhabited Earth Yet today there is only oneh From a renowned historian comes a groundbreaking narrative of humanitys creation and evolutiona 1 international bestsellerthat explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be humanOne hundred thousand years ago at least six different species of humans inhabited Earth Yet today there is only onehomo sapiens What happened to the others And what may happen to usMost books about the history of humanity pursue either a historical or a biological approach but Dr Yuval Noah Harari breaks the mold with this highly original book that begins about 70000 years ago with the appearance of modern cognition From examining the role evolving humans have played in the global ecosystem to charting the rise of empires Sapiens integrates history and science to reconsider accepted narratives connect past developments with contemporary concerns and examine specific events within the context of larger ideasDr Harari also compels us to look ahead because over the last few decades humans have begun to bend laws of natural selection that have governed life for the past four billion years We are acquiring the ability to design not only the world around us but also ourselves Where is this leading us and what do we want to becomeFeaturing 27 photographs 6 maps and 25 illustrationsdiagrams this provocative and insightful work is sure to spark debate and is essential reading for aficionados of Jared Diamond James Gleick Matt Ridley Robert Wright and Sharon Moalem more,5,https://books.toscrape.com/media/cache/ce/5f/ce5f052c65cc963cf4422be096e915c9.jpg
The Requiem Red,22.65,19,Patient TwentynineA monster roams the halls of Soothing Hills Asylum Three girls dead 29 is endowed with the curseor gift of perception She hears messages in music sees lyrics in paintings And the corn A lifetime asylum resident the orchestral corn music is the only constant in her lifeMason a new kind orderly sees 29 as a woman not a lunatic And as his bel Patient TwentynineA monster roams the halls of Soothing Hills Asylum Three girls dead 29 is endowed with the curseor gift of perception She hears messages in music sees lyrics in paintings And the corn A lifetime asylum resident the orchestral corn music is the only constant in her lifeMason a new kind orderly sees 29 as a woman not a lunatic And as his belief in her grows so does her self confidence That perhaps she might escape might see the outside world But the monster has other plans The missing girls share one common threadeach was twentynines cell mate Will she be next more,1,https://books.toscrape.com/media/cache/6b/07/6b07b77236b7c80f42bd90bf325e69f6.jpg
The Dirty Little Secrets of Getting Your Dream Job,33.34,19,Drawing on his extensive experience evaluating applicants for his marketing agency and featuring stories based on reallife situations sample cover letters resumes and straightforward advice Don Raskins The Dirty Little Secrets of Getting Your Dream Job offers all the necessary tools for navigating the tough job market and securing your dream jobDon Raskin owns and Drawing on his extensive experience evaluating applicants for his marketing agency and featuring stories based on reallife situations sample cover letters resumes and straightforward advice Don Raskins The Dirty Little Secrets of Getting Your Dream Job offers all the necessary tools for navigating the tough job market and securing your dream jobDon Raskin owns and operates MME an advertising and marketing agency in New York City During his twentyfive years at the agency he has interviewed hundreds of new college graduates for positions within his agency and has placed a strong emphasis on entrylevel recruitment for positions in creative account management traffic and production Raskin has also mentored countless students and their parents on best practices for the job search Over the years Raskin has kept exceptionally detailed notes on the interviews he has conducted observing the good the bad the ridiculous the irreverent He also has a treasure trove of overthetop cover letters resumes interviews and post interview followups he has conducted and received Now he wants to share all the wisdom and insider secrets he has gathered to help students and firsttime job seekers find a job in this economyBased on his remarkable expertise Raskins book provides exclusive insight into the job search process and lets readers in on all of the dirty little secrets to landing their first jobor a new oneand finding career success more,4,https://books.toscrape.com/media/cache/e1/1b/e11bea016d0ae1d7e2dd46fb3cb870b7.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,19,If you have a heart if you have a soul Karen Hicks The Coming Woman will make you fall in love with Victoria WoodhullKinky Friedman author and Governor of the Heart of Texas What kind of confidence would it take for a woman to buck the old boys club of politics in 1872 More than 140 years preHillary there was Victoria Woodhull This book takes you back with a If you have a heart if you have a soul Karen Hicks The Coming Woman will make you fall in love with Victoria WoodhullKinky Friedman author and Governor of the Heart of Texas What kind of confidence would it take for a woman to buck the old boys club of politics in 1872 More than 140 years preHillary there was Victoria Woodhull This book takes you back with a breathtaking presenttense birds eye view into a time when womens liberation was primarily confined to one womans very capable independent mind I couldnt put it downRuth Buzzi Golden Globe Award winner and Television Hall of Fame inducteeSadly too many Americans have never heard of Victoria Woodhull let alone learned of her story her revolutionary campaign for the presidency at a time when women werent even allowed to vote her support for workers rights or her feminist commitment to equality a century before the official battle over the Equal Rights Amendment But in The Coming Woman Karen Hicks brings Woodhulls efforts to life and reminds us that some of our nations greatest figures arent always featured in the history books It is a riveting account of an amazing woman and her struggle for justice and human dignity told in an engaging and eminently readable styleTim Wise author White Like Me Reflections on Race from a Privileged SonThe Coming Woman is a novel based on the life of feminist Victoria Woodhull the first woman to run for US President 50 years before women could even voteRunning for President wasnt Victorias only first as a woman She was also the first to own a successful Wall Street firm the first to publish a successful national newspaper and the first to head the twomillionmember Spiritualist Association She was the first woman to enter the Senate Judiciary Committee chambers to petition for womans suffrage her argument changing the entire focus of the suffragist movement by pointing out that the 14th and 15th Amendments already gave women the voteIn her campaign for the Presidency Victoria Woodhull boldly addressed many of the issues we still face today equal pay for equal work freedom in love corporate greed and political corruption fueled by powerful lobbyists and the increasing disparity between the rich and the poor to name only a few Her outspoken and commonsense ideas may shed a new perspective on the parallel conundrums of todays worldThis bold beautiful and sexually progressive woman dared to take on society and religion To make an example of the hypocrisy in what Mark Twain dubbed The Gilded Age she exposed the extramarital affairs of the most popular religious figure of the day Henry Ward Beecher This led to her persecution and imprisonment and the longest most infamous trial of the 19th century But it did not stop her fight for equalityVictorias epic story set in the late 1800s comes to life in a modern fictional style while staying true to the actual words and views of the many wellknown characters more,3,https://books.toscrape.com/media/cache/97/36/9736132a43b8e6e3989932218ef309ed.jpg
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,19,For readers of Laura Hillenbrands Seabiscuit and Unbroken the dramatic story of the American rowing team that stunned the world at Hitlers 1936 Berlin Olympics Daniel James Browns robust book tells the story of the University of Washingtons 1936 eightoar crew and their epic quest for an Olympic gold medal a team that transformed the sport and grabbed the attention o For readers of Laura Hillenbrands Seabiscuit and Unbroken the dramatic story of the American rowing team that stunned the world at Hitlers 1936 Berlin Olympics Daniel James Browns robust book tells the story of the University of Washingtons 1936 eightoar crew and their epic quest for an Olympic gold medal a team that transformed the sport and grabbed the attention of millions of Americans The sons of loggers shipyard workers and farmers the boys defeated elite rivals first from eastern and British universities and finally the German crew rowing for Adolf Hitler in the Olympic games in Berlin 1936 The emotional heart of the story lies with one rower Joe Rantz a teenager without family or prospects who rows not for glory but to regain his shattered selfregard and to find a place he can call home The crew is assembled by an enigmatic coach and mentored by a visionary eccentric British boat builder but it is their trust in each other that makes them a victorious team They remind the country of what can be done when everyone quite literally pulls togethera perfect melding of commitment determination and optimism Drawing on the boys own diaries and journals their photos and memories of a onceinalifetime shared dream The Boys in the Boat is an irresistible story about beating the odds and finding hope in the most desperate of timesthe improbable intimate story of nine workingclass boys from the American west who in the depths of the Great Depression showed the world what true grit really meant It will appeal to readers of Erik Larson Timothy Egan James Bradley and David Halberstams The Amateurs more,4,https://books.toscrape.com/media/cache/d1/2d/d12d26739b5369a6b5b3024e4d08f907.jpg
The Black Maria,52.15,19,Praise for Aracelis GirmayGirmays every lossshe calls them estrangementsis a yearning for connection across time and place her every fragment is a bulwark against ruin  O The Oprah Magazine In Aracelis Girmay we have a poet who collects polishes and shares stories with such brilliant invention tenderness and intellectual liveliness that it is understandabl Praise for Aracelis GirmayGirmays every lossshe calls them estrangementsis a yearning for connection across time and place her every fragment is a bulwark against ruin  O The Oprah Magazine In Aracelis Girmay we have a poet who collects polishes and shares stories with such brilliant invention tenderness and intellectual liveliness that it is understandable that we think of her as the blessed curator of our collective histories There is in her art the vulnerability of one who lives inside of the stories that she gathers in this remarkable collection Her poems set off alarms even as they transform the world she inhabits showing us in the process exactly what she asks of Romare Beardens art how not to  assign all blackness near the sea  a captivity This is one of the many sweet contradictions in the black maria which is a black flag  wounding the pastoral I am deeply thankful that we have a poet of her unique and singular talent writing today Kwame DawesTaking its name from the moons dark plains misidentified as seas by early astronomers the black maria investigates African diasporic histories the consequences of racism within American culture and the question of human identity Central to this project is a desire to recognize the lives of Eritrean refugees who have been made invisible by years of immigration crisis refugee status exile and resulting statelessness The recipient of a 2015 Whiting Award for Poetry Girmays newest collection elegizes and celebrates life while wrestling with the humanistic notion of seeing beyond seeing violence seeing grace and seeing each other betterto the seagreat storage house historyon which we rode we touchedthe brief pulse of your flutteringpages spelled with salt  lifeyour rage your indifferenceyour gentleness washing our feetall of you going onwhether or not we liveto you we bring our carnationsyellow  pink how they floatlike bright sentences atopyour memorys dark hairAracelis Girmay is the author of three poetry collections the black maria Kingdom Animalia which won the Isabella Gardner Award and was a finalist for the NBCC Award and Teeth The recipient of a 2015 Whiting Award she has received grants and fellowships from the Jerome Cave Canem and Watson foundations as well as Civitella Ranieri and the NEA She currently teaches at Hampshire Colleges School for Interdisciplinary Arts and in Drew Universitys low residency MFA program Originally from Santa Ana California she splits her time between New York and Amherst Massachusetts more,1,https://books.toscrape.com/media/cache/d1/7a/d17a3e313e52e1be5651719e4fba1d16.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,19,Since her assault Miss Annette Chetwynd has been plagued by nightmares and worries about an arranged marriage But she yearns to find her anonymous rescuer Unfortunately her health and intellect prevent it Both repel suitors and cause Annette to doubt Gods existence at least until He answers her prayers in an unusual way  Mr Peter Adsley is joining the clergy an Since her assault Miss Annette Chetwynd has been plagued by nightmares and worries about an arranged marriage But she yearns to find her anonymous rescuer Unfortunately her health and intellect prevent it Both repel suitors and cause Annette to doubt Gods existence at least until He answers her prayers in an unusual way  Mr Peter Adsley is joining the clergy and he desires a godly wife by his side After his failed attempt to obtain one he engages in a clandestine meeting with the bewitching young woman who keeps crossing his path But she is so unsettling Destined for disappointments Peter and Annette endure disgraceful situations Will Peters faith sustain him through overwhelming setbacks Can Annette overcome her doubts Or will their starving hearts yield to the machinations of a mad man more,2,https://books.toscrape.com/media/cache/a0/7e/a07ed8f1c23f7b4baf7102722680bd30.jpg
Shakespeare's Sonnets,20.66,19,This book is an important and complete collection of the Sonnets of William Shakespeare Most readers are aware of the great plays and manuscripts written for the stage but are unaware of the magnificent Sonnets which were written around the same period This is an excellent complete collection of the Sonnets and poetry of William Shakespeare and should not be missed by This book is an important and complete collection of the Sonnets of William Shakespeare Most readers are aware of the great plays and manuscripts written for the stage but are unaware of the magnificent Sonnets which were written around the same period This is an excellent complete collection of the Sonnets and poetry of William Shakespeare and should not be missed by those interested in the completion of a collection of his writings and those interested in early poetic works more,4,https://books.toscrape.com/media/cache/4d/7a/4d7a79a8be80a529b277ed5c4d8ba482.jpg
Set Me Free,17.46,19,Aaron Ledbetters future had been planned out for him since before he was born Each year the Ledbetter family vacation on Tybee Island gave Aaron a chance to briefly free himself from his familys expectations When he meets Jonas Lucky Luckett a caricature artist in town with the traveling carnival he must choose between the life thats been mapped out for him and Aaron Ledbetters future had been planned out for him since before he was born Each year the Ledbetter family vacation on Tybee Island gave Aaron a chance to briefly free himself from his familys expectations When he meets Jonas Lucky Luckett a caricature artist in town with the traveling carnival he must choose between the life thats been mapped out for him and the chance at true love more,5,https://books.toscrape.com/media/cache/b8/e9/b8e91bd2fc74c3954118999238abb4b8.jpg
